name,hit_points,armor_class,wisdom_save,constitution_save,damage_resistances_count,damage_immunities_count,offensive_threat,max_damage_per_hit,intelligence_save,legendary_actions_count,charisma_save,hit_dice_count,dexterity_save,condition_immunities_count,passive_perception,special_abilities_count,charisma,skills.arcana,skills.stealth,constitution,cr
Bronze Dragon Wyrmling,32,17,2.0,4.0,0,1,16,8,1.0,0,4.0,5,2.0,0,14,1,15,1.0,2.0,15,2.0
Brown Bear,34,11,1.0,3.0,0,0,33,11,-4.0,0,-2.0,4,0.0,0,13,1,7,-4.0,0.0,16,1.0
Bugbear,27,16,0.0,1.0,0,0,22,11,-1.0,0,-1.0,5,2.0,0,10,2,9,-1.0,6.0,13,1.0
Bulette,94,17,0.0,5.0,0,0,60,30,-4.0,0,-3.0,9,0.0,0,16,1,5,-4.0,0.0,21,5.0
Camel,15,9,-1.0,2.0,0,0,2,2,-4.0,0,-3.0,2,-1.0,0,9,0,5,-4.0,-1.0,14,0.125
Cat,2,12,1.0,0.0,0,0,1,1,-4.0,0,-2.0,1,2.0,0,13,1,7,-4.0,4.0,10,0.0
Centaur,45,12,1.0,2.0,0,0,44,11,-1.0,0,0.0,6,2.0,0,13,1,11,-1.0,2.0,14,2.0
Chain Devil,85,16,1.0,4.0,4,2,33,11,0.0,0,2.0,10,2.0,1,8,2,14,0.0,2.0,18,11.0
Chimera,114,14,2.0,4.0,0,0,55,11,-4.0,0,0.0,12,0.0,0,18,0,10,-4.0,0.0,19,6.0
Chuul,93,16,0.0,3.0,0,1,33,11,-3.0,0,-3.0,11,0.0,1,14,2,5,-3.0,0.0,16,4.0
Clay Golem,133,14,-1.0,4.0,0,6,48,16,-4.0,0,-5.0,14,-1.0,6,9,5,1,-4.0,-1.0,18,9.0
Cloaker,78,14,1.0,1.0,0,0,50,10,1.0,0,2.0,12,2.0,0,11,3,14,1.0,5.0,12,8.0
Cloud Giant,200,14,7.0,10.0,0,0,90,30,1.0,0,7.0,16,0.0,0,17,2,16,1.0,0.0,22,9.0
Cockatrice,27,11,1.0,1.0,0,0,3,3,-4.0,0,-3.0,6,1.0,0,11,0,5,-4.0,1.0,12,0.5
Commoner,4,10,0.0,0.0,0,0,2,2,0.0,0,0.0,1,0.0,0,10,0,10,0.0,0.0,10,0.0
Constrictor Snake,13,12,0.0,1.0,0,0,12,6,-5.0,0,-4.0,2,2.0,0,10,0,3,-5.0,2.0,12,0.25
Copper Dragon Wyrmling,22,16,2.0,3.0,0,1,14,7,2.0,0,3.0,4,3.0,0,14,0,13,2.0,3.0,13,1.0
Couatl,97,19,7.0,5.0,1,4,30,10,4.0,0,6.0,13,5.0,0,15,3,18,4.0,5.0,17,4.0
Crab,2,11,-1.0,0.0,0,0,1,1,-5.0,0,-4.0,1,0.0,0,9,1,2,-5.0,2.0,10,0.0
Crocodile,19,12,0.0,1.0,0,0,7,7,-4.0,0,-3.0,3,0.0,0,10,1,5,-4.0,2.0,13,0.5
Cult Fanatic,22,13,1.0,1.0,0,0,8,4,0.0,0,2.0,6,2.0,0,11,2,14,0.0,2.0,12,2.0
Cultist,9,12,0.0,0.0,0,0,4,4,0.0,0,0.0,2,1.0,0,10,1,10,0.0,1.0,10,0.125
Darkmantle,22,11,0.0,1.0,0,0,12,6,-4.0,0,-3.0,5,1.0,0,10,2,5,-4.0,3.0,13,0.5
Death Dog,39,12,1.0,2.0,0,0,10,5,-4.0,0,-2.0,6,2.0,0,15,1,6,-4.0,4.0,14,1.0
Deep Gnome (Svirfneblin),16,15,0.0,2.0,0,0,12,6,1.0,0,-1.0,3,2.0,0,12,3,9,1.0,4.0,14,0.5
Deer,4,13,2.0,0.0,0,0,2,2,-4.0,0,-3.0,1,3.0,0,12,0,5,-4.0,3.0,11,0.0
Deva,136,17,9.0,4.0,4,0,28,7,3.0,0,9.0,16,4.0,3,19,3,20,3.0,4.0,18,10.0
Dire Wolf,37,14,1.0,2.0,0,0,10,10,-4.0,0,-2.0,5,2.0,0,13,2,7,-4.0,4.0,15,1.0
Djinni,161,17,7.0,6.0,0,2,36,12,2.0,0,9.0,14,6.0,0,13,3,20,2.0,2.0,22,11.0
Doppelganger,52,14,1.0,2.0,0,0,21,7,0.0,0,2.0,8,4.0,1,11,3,14,0.0,4.0,14,3.0
Draft Horse,19,10,0.0,1.0,0,0,9,9,-4.0,0,-2.0,3,0.0,0,10,0,7,-4.0,0.0,12,0.25
Dragon Turtle,341,20,7.0,11.0,1,0,130,26,0.0,0,1.0,22,6.0,0,11,1,12,0.0,0.0,20,17.0
Dretch,18,11,-1.0,1.0,3,1,20,5,-3.0,0,-4.0,4,0.0,1,9,0,3,-3.0,0.0,12,0.25
Drider,123,19,2.0,4.0,0,0,28,7,1.0,0,1.0,13,3.0,0,15,5,12,1.0,9.0,18,6.0
Drow,13,15,0.0,0.0,0,0,10,5,0.0,0,1.0,3,2.0,0,12,3,12,0.0,4.0,10,0.25
Druid,27,11,2.0,1.0,0,0,3,3,1.0,0,0.0,5,1.0,0,14,1,11,1.0,1.0,13,2.0
Dryad,22,11,2.0,0.0,0,0,4,2,2.0,0,4.0,5,1.0,0,14,4,18,2.0,5.0,11,1.0
Duergar,26,16,0.0,2.0,1,0,24,6,0.0,0,-1.0,4,0.0,0,10,2,9,0.0,0.0,14,1.0
Dust Mephit,17,12,0.0,0.0,0,1,12,4,-1.0,0,0.0,5,2.0,1,12,2,10,-1.0,4.0,10,0.5
Eagle,3,12,2.0,0.0,0,0,4,4,-4.0,0,-2.0,1,2.0,0,14,1,7,-4.0,2.0,10,0.0
Earth Elemental,126,17,0.0,5.0,3,1,28,14,-3.0,0,-3.0,12,-1.0,5,10,2,5,-3.0,-1.0,20,5.0
Efreeti,200,17,6.0,7.0,0,1,51,17,7.0,0,7.0,16,1.0,0,12,3,16,3.0,1.0,24,11.0
Elephant,76,12,0.0,3.0,0,0,44,22,-4.0,0,-2.0,8,-1.0,0,10,1,6,-4.0,-1.0,17,4.0
Elk,13,10,0.0,1.0,0,0,16,8,-4.0,0,-2.0,2,0.0,0,10,1,6,-4.0,0.0,12,0.25
Erinyes,153,18,6.0,8.0,4,2,32,8,2.0,0,8.0,18,7.0,1,12,2,18,2.0,3.0,18,12.0
Ettercap,44,13,1.0,1.0,0,0,35,7,-2.0,0,-1.0,8,2.0,0,13,3,8,-2.0,4.0,13,2.0
Ettin,85,12,0.0,3.0,0,0,42,14,-2.0,0,-1.0,10,-1.0,0,14,2,8,-2.0,-1.0,17,4.0
Fire Elemental,102,13,0.0,3.0,3,2,20,10,-2.0,0,-2.0,12,3.0,8,10,3,7,-2.0,3.0,16,5.0
Fire Giant,162,18,2.0,10.0,0,1,87,29,0.0,0,5.0,13,3.0,0,16,0,13,0.0,-1.0,23,9.0
Flesh Golem,93,9,0.0,4.0,0,5,26,13,-2.0,0,-3.0,11,-1.0,6,10,6,5,-2.0,-1.0,18,5.0
Flying Snake,5,14,1.0,0.0,0,0,1,1,-4.0,0,-3.0,2,4.0,0,11,1,5,-4.0,4.0,11,0.125
Flying Sword,17,17,-3.0,0.0,0,2,5,5,-5.0,0,-5.0,5,4.0,7,7,2,1,-5.0,2.0,11,0.25
Frog,1,11,-1.0,-1.0,0,0,0,0,-5.0,0,-4.0,1,1.0,0,11,2,3,-5.0,3.0,8,0.0
Frost Giant,138,15,3.0,8.0,0,1,84,28,-1.0,0,4.0,12,-1.0,0,13,0,12,-1.0,-1.0,21,8.0
Gargoyle,52,15,0.0,3.0,3,1,15,5,-2.0,0,-2.0,7,0.0,3,10,1,7,-2.0,0.0,16,2.0
Gelatinous Cube,84,6,-2.0,5.0,0,0,20,10,-5.0,0,-5.0,8,-4.0,6,8,2,1,-5.0,-4.0,20,2.0
Ghast,36,13,0.0,0.0,1,1,24,12,0.0,0,-1.0,8,3.0,3,10,2,8,0.0,3.0,10,2.0
Ghost,45,11,1.0,0.0,7,3,68,17,0.0,0,3.0,10,1.0,9,11,2,17,0.0,1.0,10,4.0
Ghoul,22,12,0.0,0.0,0,1,18,9,-2.0,0,-2.0,5,2.0,3,10,0,6,-2.0,2.0,10,1.0
Giant Ape,157,12,1.0,4.0,0,0,90,30,-2.0,0,-2.0,15,2.0,0,14,0,7,-2.0,2.0,18,7.0
Giant Badger,13,10,1.0,2.0,0,0,18,6,-4.0,0,-3.0,2,0.0,0,11,1,5,-4.0,0.0,15,0.25
Giant Bat,22,13,1.0,0.0,0,0,5,5,-4.0,0,-2.0,4,3.0,0,11,2,6,-4.0,3.0,11,0.25
Giant Boar,42,12,-2.0,3.0,0,0,10,10,-4.0,0,-3.0,5,0.0,0,8,2,5,-4.0,0.0,16,2.0
Giant Centipede,4,13,-2.0,1.0,0,0,4,4,-5.0,0,-4.0,1,2.0,0,8,0,3,-5.0,2.0,12,0.25
Giant Constrictor Snake,60,12,0.0,1.0,0,0,26,13,-5.0,0,-4.0,8,2.0,0,12,0,3,-5.0,2.0,12,2.0
Giant Crab,13,15,-1.0,0.0,0,0,4,4,-5.0,0,-4.0,3,2.0,0,9,1,3,-5.0,4.0,11,0.125
Giant Crocodile,85,14,0.0,3.0,0,0,63,21,-4.0,0,-2.0,9,-1.0,0,10,1,7,-4.0,5.0,17,5.0
Giant Eagle,26,13,2.0,1.0,0,0,30,10,-1.0,0,0.0,4,3.0,0,14,1,10,-1.0,3.0,13,1.0
Giant Elk,42,15,2.0,2.0,0,0,44,22,-2.0,0,0.0,5,3.0,0,14,1,10,-2.0,3.0,14,2.0
Giant Fire Beetle,4,13,-2.0,1.0,0,0,2,2,-5.0,0,-4.0,1,0.0,0,8,1,3,-5.0,0.0,12,0.0
Giant Frog,18,11,0.0,0.0,0,0,8,4,-4.0,0,-4.0,4,1.0,0,12,2,3,-4.0,3.0,11,0.25
Giant Goat,19,11,1.0,1.0,0,0,8,8,-4.0,0,-2.0,3,0.0,0,11,2,6,-4.0,0.0,12,0.5
Giant Hyena,45,12,1.0,2.0,0,0,10,10,-4.0,0,-2.0,6,2.0,0,13,1,7,-4.0,2.0,14,1.0
Giant Lizard,19,12,0.0,1.0,0,0,6,6,-4.0,0,-3.0,3,1.0,0,10,2,5,-4.0,1.0,13,0.25
Giant Octopus,52,11,0.0,1.0,0,0,20,10,-3.0,0,-3.0,8,1.0,0,14,3,4,-3.0,5.0,13,1.0
Giant Owl,19,12,1.0,1.0,0,0,8,8,-1.0,0,0.0,3,2.0,0,15,2,10,-1.0,4.0,12,0.25
Giant Poisonous Snake,11,14,0.0,1.0,0,0,6,6,-4.0,0,-4.0,2,4.0,0,12,0,3,-4.0,4.0,13,0.25
Giant Rat,7,12,0.0,0.0,0,0,4,4,-4.0,0,-3.0,2,2.0,0,10,2,4,-4.0,2.0,11,0.125
Giant Rat (Diseased),7,12,0.0,0.0,0,0,4,4,-4.0,0,-3.0,2,2.0,0,10,0,4,-4.0,2.0,11,0.125
Giant Scorpion,52,15,-1.0,2.0,0,0,21,7,-5.0,0,-4.0,7,1.0,0,9,0,3,-5.0,1.0,15,3.0
Giant Sea Horse,16,13,1.0,0.0,0,0,4,4,-4.0,0,-3.0,3,2.0,0,11,2,5,-4.0,2.0,11,0.5
Giant Shark,126,13,0.0,5.0,0,0,22,22,-5.0,0,-3.0,11,0.0,0,13,2,5,-5.0,0.0,21,5.0
Giant Spider,26,14,0.0,1.0,0,0,14,7,-4.0,0,-3.0,4,3.0,0,10,3,4,-4.0,7.0,12,1.0
Giant Toad,39,11,0.0,1.0,0,0,14,7,-4.0,0,-4.0,6,1.0,0,10,2,3,-4.0,1.0,13,1.0
Giant Vulture,22,10,1.0,2.0,0,0,27,9,-2.0,0,-2.0,3,0.0,0,13,2,7,-2.0,0.0,15,1.0
Giant Wasp,13,12,0.0,0.0,0,0,5,5,-5.0,0,-4.0,3,2.0,0,10,0,3,-5.0,2.0,10,0.5
Giant Weasel,9,13,1.0,0.0,0,0,5,5,-3.0,0,-3.0,2,3.0,0,13,1,5,-3.0,5.0,10,0.125
Giant Wolf Spider,11,13,1.0,1.0,0,0,4,4,-4.0,0,-3.0,2,3.0,0,13,3,4,-4.0,7.0,13,0.25
Gibbering Mouther,67,9,0.0,3.0,0,0,51,17,-4.0,0,-2.0,9,-1.0,1,10,2,6,-4.0,-1.0,16,2.0
Glabrezu,157,17,7.0,9.0,6,1,64,16,4.0,0,7.0,15,2.0,1,13,2,16,4.0,2.0,21,9.0
Gladiator,112,16,1.0,6.0,0,0,33,11,0.0,0,2.0,15,5.0,0,11,2,15,0.0,2.0,16,5.0
Gnoll,22,15,0.0,0.0,0,0,15,5,-2.0,0,-2.0,5,1.0,0,10,1,7,-2.0,1.0,11,0.5
Goat,4,10,0.0,0.0,0,0,3,3,-4.0,0,-3.0,1,0.0,0,10,2,5,-4.0,0.0,11,0.0
Goblin,7,15,-1.0,0.0,0,0,10,5,0.0,0,-1.0,2,2.0,0,9,1,8,0.0,6.0,10,0.25
Gold Dragon Wyrmling,60,17,2.0,5.0,0,1,18,9,2.0,0,5.0,8,4.0,0,14,1,16,2.0,4.0,17,3.0
Gorgon,114,19,1.0,4.0,0,0,54,18,-4.0,0,-2.0,12,0.0,1,14,1,7,-4.0,0.0,18,5.0
Gray Ooze,22,8,-2.0,3.0,3,0,4,4,-5.0,0,-4.0,3,-2.0,6,8,3,2,-5.0,2.0,16,0.5
Green Dragon Wyrmling,38,17,2.0,3.0,0,1,14,7,2.0,0,3.0,7,3.0,1,14,1,13,2.0,3.0,13,2.0
Green Hag,82,17,2.0,3.0,0,0,39,13,1.0,0,2.0,11,1.0,0,14,6,14,3.0,3.0,16,3.0
Grick,27,14,2.0,0.0,3,0,27,9,-4.0,0,-3.0,6,2.0,0,12,1,5,-4.0,2.0,11,2.0
Griffon,59,12,1.0,3.0,0,0,33,11,-4.0,0,-1.0,7,2.0,0,15,1,8,-4.0,2.0,16,2.0
Grimlock,11,11,-1.0,1.0,0,0,5,5,-1.0,0,-2.0,2,1.0,1,13,3,6,-1.0,3.0,12,0.25
Guard,11,16,0.0,1.0,0,0,4,4,0.0,0,0.0,2,1.0,0,12,0,10,0.0,1.0,12,0.125
Guardian Naga,127,18,8.0,7.0,0,1,16,8,7.0,0,8.0,15,8.0,2,14,2,18,3.0,4.0,16,10.0
Gynosphinx,136,17,4.0,3.0,3,1,26,13,4.0,3,4.0,16,2.0,2,18,3,18,12.0,2.0,16,11.0
Half-Red Dragon Veteran,65,18,0.0,2.0,1,0,35,7,0.0,0,0.0,10,1.0,0,12,0,10,0.0,1.0,14,5.0
Harpy,38,11,0.0,1.0,0,0,24,6,-2.0,0,1.0,7,1.0,0,10,0,13,-2.0,1.0,12,1.0
Hawk,1,13,2.0,-1.0,0,0,1,1,-4.0,0,-2.0,1,3.0,0,14,1,6,-4.0,3.0,8,0.0
Hell Hound,45,15,1.0,2.0,0,1,14,7,-2.0,0,-2.0,7,1.0,0,15,2,6,-2.0,1.0,14,3.0
Hezrou,136,16,4.0,8.0,6,1,60,15,-3.0,0,1.0,13,3.0,1,11,2,13,-3.0,3.0,20,8.0
Hill Giant,105,13,-1.0,4.0,0,0,63,21,-3.0,0,-2.0,10,-1.0,0,12,0,6,-3.0,-1.0,19,5.0
Hippogriff,19,11,1.0,1.0,0,0,30,10,-4.0,0,-1.0,3,1.0,0,15,1,8,-4.0,1.0,13,1.0
Hobgoblin,11,18,0.0,1.0,0,0,10,5,0.0,0,-1.0,2,1.0,0,10,1,9,0.0,1.0,12,0.5
Homunculus,5,13,0.0,0.0,0,1,1,1,0.0,0,-2.0,2,2.0,2,10,1,7,0.0,2.0,11,0.0
Horned Devil,178,18,7.0,5.0,4,2,60,15,1.0,0,7.0,17,7.0,1,13,2,17,1.0,3.0,21,11.0
Hunter Shark,45,12,0.0,2.0,0,0,13,13,-5.0,0,-3.0,6,1.0,0,12,2,4,-5.0,1.0,15,2.0
Hydra,172,15,0.0,5.0,0,0,20,10,-4.0,0,-2.0,15,1.0,0,16,4,7,-4.0,1.0,20,8.0
Hyena,5,11,1.0,1.0,0,0,3,3,-4.0,0,-3.0,1,1.0,0,13,1,5,-4.0,1.0,12,0.0
Ice Devil,180,18,7.0,9.0,3,2,60,12,4.0,0,9.0,19,7.0,1,12,2,18,4.0,2.0,18,14.0
Ice Mephit,21,11,0.0,0.0,0,2,9,3,-1.0,0,1.0,6,1.0,1,12,3,12,-1.0,3.0,10,0.5
Imp,10,13,1.0,1.0,4,2,10,5,0.0,0,2.0,3,3.0,1,11,4,14,0.0,5.0,13,1.0
Invisible Stalker,104,14,2.0,2.0,3,1,20,10,0.0,0,0.0,16,4.0,8,18,2,11,0.0,10.0,14,6.0
Iron Golem,210,20,0.0,5.0,0,6,92,23,-4.0,0,-5.0,20,-1.0,6,10,4,1,-4.0,-1.0,20,16.0
Jackal,3,12,1.0,0.0,0,0,1,1,-4.0,0,-2.0,1,2.0,0,13,2,6,-4.0,2.0,11,0.0
Killer Whale,90,12,1.0,1.0,0,0,21,21,-4.0,0,-2.0,12,0.0,0,13,3,7,-4.0,0.0,13,3.0
Knight,52,18,2.0,4.0,0,0,40,10,0.0,0,2.0,8,0.0,0,10,1,15,0.0,0.0,14,3.0
Kobold,5,12,-2.0,-1.0,0,0,8,4,-1.0,0,-1.0,2,2.0,0,8,2,8,-1.0,2.0,9,0.125
Kraken,472,18,11.0,14.0,0,4,115,23,13.0,3,5.0,27,7.0,2,14,3,20,6.0,0.0,25,23.0
Lamia,97,13,2.0,2.0,0,0,56,14,2.0,0,3.0,13,1.0,0,12,1,16,2.0,3.0,15,4.0
Lemure,13,7,0.0,0.0,1,2,2,2,-5.0,0,-4.0,3,-3.0,3,10,2,3,-5.0,-3.0,11,0.0
Lich,135,17,9.0,10.0,3,4,10,10,12.0,4,3.0,18,3.0,5,19,4,16,19.0,3.0,16,21.0
Lion,26,12,1.0,1.0,0,0,14,7,-4.0,0,-1.0,4,2.0,0,13,4,8,-4.0,6.0,13,1.0
Lizard,2,10,-1.0,0.0,0,0,1,1,-5.0,0,-4.0,1,0.0,0,9,0,3,-5.0,0.0,10,0.0
Lizardfolk,22,15,1.0,1.0,0,0,25,5,-2.0,0,-2.0,4,0.0,0,13,1,7,-2.0,4.0,13,0.5
Mage,40,12,4.0,0.0,0,0,4,4,6.0,0,0.0,9,2.0,0,11,1,11,6.0,2.0,11,6.0
Magma Mephit,22,11,0.0,1.0,0,2,9,3,-2.0,0,0.0,5,1.0,1,10,3,10,-2.0,3.0,12,0.5
Magmin,9,14,0.0,1.0,3,1,7,7,-1.0,0,0.0,2,2.0,0,10,2,10,-1.0,2.0,12,0.5
Mammoth,126,13,0.0,5.0,0,0,58,29,-4.0,0,-2.0,11,-1.0,0,10,1,6,-4.0,-1.0,21,6.0
Manticore,68,14,1.0,3.0,0,0,28,7,-2.0,0,-1.0,8,3.0,0,11,1,8,-2.0,3.0,17,3.0
Marilith,189,18,8.0,10.0,6,1,75,15,4.0,0,10.0,18,5.0,1,13,3,20,4.0,5.0,20,16.0
Mastiff,5,12,1.0,1.0,0,0,4,4,-4.0,0,-2.0,1,2.0,0,13,1,7,-4.0,2.0,12,0.125
Medusa,127,15,1.0,3.0,0,0,24,6,1.0,0,2.0,17,2.0,0,14,1,15,1.0,5.0,16,6.0
Merfolk,11,11,0.0,1.0,0,0,3,3,0.0,0,1.0,2,1.0,0,12,1,12,0.0,1.0,12,0.125
Merrow,45,13,0.0,2.0,0,0,44,11,-1.0,0,-1.0,6,0.0,0,10,1,9,-1.0,0.0,15,2.0
Mimic,58,12,1.0,2.0,0,1,14,7,-3.0,0,-1.0,9,1.0,1,11,4,8,-3.0,5.0,15,2.0
Minotaur,76,14,3.0,3.0,0,0,34,17,-2.0,0,-1.0,9,0.0,0,17,3,9,-2.0,0.0,16,3.0
Minotaur Skeleton,67,12,-1.0,2.0,0,1,34,17,-2.0,0,-3.0,9,0.0,2,9,1,5,-2.0,0.0,15,2.0
Mule,11,10,0.0,1.0,0,0,4,4,-4.0,0,-3.0,2,0.0,0,10,2,5,-4.0,0.0,13,0.125
Mummy,58,11,2.0,2.0,0,3,30,10,-2.0,0,1.0,9,-1.0,2,10,0,12,-2.0,-1.0,15,3.0
Mummy Lord,97,17,9.0,8.0,0,5,42,14,5.0,5,8.0,13,0.0,5,14,3,16,0.0,0.0,17,15.0
