name,size_numeric,type,sub_race,ethics,morale,armor_class,hit_points,hit_dice_count,strength,dexterity,constitution,intelligence,wisdom,charisma,strength_save,dexterity_save,constitution_save,intelligence_save,wisdom_save,charisma_save,perception,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,passive_perception,sense_darkvision_m,sense_blindsight_m,sense_tremorsense_m,sense_truesight_m,lang_telepathy_m,languages_count,cr,actions_count,reactions_count,legendary_actions_count,special_abilities_count,spell_list_count,speed.walk,speed.swim,skills.history,skills.perception,skills.medicine,skills.religion,speed.fly,skills.stealth,speed.burrow,skills.persuasion,skills.insight,speed.climb,skills.deception,skills.arcana,speed.hover,skills.athletics,skills.acrobatics,skills.survival,skills.investigation,skills.nature,skills.intimidation,skills.performance,speed.lightwalking
Adult Silver Dragon,5,Dragon,Silver Dragon,1,1,19,243,18,27,10,25,16,13,21,8.0,5.0,12.0,3.0,6.0,10.0,11.0,0,0,1,0,21,36.0,18.0,0.0,0.0,0.0,2,16.0,7,0,3,1,0,40.0,,8.0,11.0,,,80.0,5.0,,,,,,8.0,,,,,,,,,
Adult White Dragon,5,Dragon,White Dragon,-1,-1,18,200,16,22,10,22,8,12,12,6.0,5.0,11.0,-1.0,6.0,6.0,11.0,0,0,1,0,21,36.0,18.0,0.0,0.0,0.0,2,13.0,6,0,3,2,0,40.0,40.0,,11.0,,,80.0,5.0,30.0,,,,,,,,,,,,,,
Air Elemental,4,Elemental,Elementals,0,0,15,90,12,14,20,14,6,10,6,2.0,5.0,2.0,-2.0,0.0,-2.0,0.0,0,5,1,8,10,18.0,0.0,0.0,0.0,0.0,1,5.0,3,0,0,1,0,0.0,,,,,,90.0,,,,,,,,True,,,,,,,,
Ancient Black Dragon,6,Dragon,Black Dragon,-1,-1,22,367,21,27,14,25,16,15,19,8.0,9.0,14.0,3.0,9.0,11.0,16.0,0,0,1,0,26,36.0,18.0,0.0,0.0,0.0,2,21.0,6,0,3,2,0,40.0,40.0,,16.0,,,80.0,9.0,,,,,,,,,,,,,,,
Ancient Blue Dragon,6,Dragon,Blue Dragon,1,-1,22,481,26,29,10,27,18,17,21,9.0,7.0,15.0,4.0,10.0,12.0,17.0,0,0,1,0,27,36.0,18.0,0.0,0.0,0.0,2,23.0,6,0,3,1,0,40.0,,,17.0,,,80.0,7.0,40.0,,,,,,,,,,,,,,
Ancient Brass Dragon,6,Dragon,Brass Dragon,-1,1,20,297,17,27,10,25,16,15,19,8.0,6.0,13.0,3.0,8.0,10.0,14.0,0,0,1,0,24,36.0,18.0,0.0,0.0,0.0,2,20.0,7,0,3,1,0,40.0,,9.0,14.0,,,80.0,6.0,40.0,10.0,,,,,,,,,,,,,
Ancient Bronze Dragon,6,Dragon,Bronze Dragon,1,1,22,444,24,29,10,27,18,17,21,9.0,7.0,15.0,4.0,10.0,12.0,17.0,0,0,1,0,27,36.0,18.0,0.0,0.0,0.0,2,22.0,7,0,3,2,0,40.0,40.0,,17.0,,,80.0,7.0,,,10.0,,,,,,,,,,,,
Ancient Copper Dragon,6,Dragon,Copper Dragon,-1,1,21,350,20,27,12,25,20,17,19,8.0,8.0,14.0,5.0,10.0,11.0,17.0,0,0,1,0,27,36.0,18.0,0.0,0.0,0.0,2,21.0,7,0,3,1,0,40.0,,,17.0,,,80.0,8.0,,,,40.0,11.0,,,,,,,,,,
Ancient Gold Dragon,6,Dragon,Gold Dragon,1,1,22,546,28,30,14,29,18,17,28,10.0,9.0,16.0,4.0,10.0,16.0,17.0,0,0,1,0,27,36.0,18.0,0.0,0.0,0.0,2,24.0,7,0,3,2,0,40.0,40.0,,17.0,,,80.0,9.0,,16.0,10.0,,,,,,,,,,,,
Ancient Green Dragon,6,Dragon,Green Dragon,1,-1,21,385,22,27,12,25,20,17,19,8.0,8.0,14.0,5.0,10.0,11.0,17.0,0,0,1,1,27,36.0,18.0,0.0,0.0,0.0,2,22.0,6,0,3,2,0,40.0,40.0,,17.0,,,80.0,8.0,,11.0,10.0,,11.0,,,,,,,,,,
Ancient Red Dragon,6,Dragon,Red Dragon,-1,-1,22,546,28,30,10,29,18,15,23,10.0,7.0,16.0,4.0,9.0,13.0,16.0,0,0,1,0,26,36.0,18.0,0.0,0.0,0.0,2,24.0,6,0,3,1,0,40.0,,,16.0,,,80.0,7.0,,,,40.0,,,,,,,,,,,
Ancient Silver Dragon,6,Dragon,Silver Dragon,1,1,22,487,25,30,10,29,18,15,23,10.0,7.0,16.0,4.0,9.0,13.0,16.0,0,0,1,0,26,36.0,18.0,0.0,0.0,0.0,2,23.0,7,0,3,1,0,40.0,,11.0,16.0,,,80.0,7.0,,,,,,11.0,,,,,,,,,
Ancient White Dragon,6,Dragon,White Dragon,-1,-1,20,333,18,26,10,26,10,13,14,8.0,6.0,14.0,0.0,7.0,8.0,13.0,0,0,1,0,23,36.0,18.0,0.0,0.0,0.0,2,20.0,6,0,3,2,0,40.0,40.0,,13.0,,,80.0,6.0,40.0,,,,,,,,,,,,,,
Androsphinx,4,Monstrosity,Sphinxes,1,0,17,199,19,22,10,20,16,18,23,6.0,6.0,11.0,9.0,10.0,6.0,10.0,0,0,4,2,20,0.0,0.0,0.0,36.0,0.0,2,17.0,3,0,3,3,15,40.0,,,10.0,,15.0,60.0,,,,,,,9.0,,,,,,,,,
Animated Armor,3,Construct,Animated Objects,0,0,18,33,6,14,11,13,1,3,1,2.0,0.0,1.0,-5.0,-4.0,-5.0,-4.0,0,0,2,8,6,0.0,18.0,0.0,0.0,0.0,0,1.0,2,0,0,2,0,25.0,,,,,,,,,,,,,,,,,,,,,,
Ankheg,4,Monstrosity,Monstrosity,0,0,14,39,6,17,11,13,1,13,6,3.0,0.0,1.0,-5.0,1.0,-2.0,1.0,0,0,0,0,11,18.0,0.0,18.0,0.0,0.0,0,2.0,2,0,0,0,0,30.0,,,,,,,,10.0,,,,,,,,,,,,,,
Ape,3,Beast,Beast,0,0,12,19,3,16,14,14,6,12,7,3.0,2.0,2.0,-2.0,1.0,-2.0,3.0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0,0.5,3,0,0,0,0,30.0,,,3.0,,,,,,,,30.0,,,,5.0,,,,,,,
Archmage,3,Humanoid,Humanoid,0,0,12,99,18,10,14,12,20,15,16,0.0,2.0,1.0,9.0,6.0,3.0,2.0,0,4,0,0,12,0.0,0.0,0.0,0.0,0.0,1,12.0,1,0,0,2,15,30.0,,13.0,,,,,,,,,,,13.0,,,,,,,,,
Assassin,3,Humanoid,Humanoid,0,1,15,78,12,11,16,14,13,11,10,0.0,6.0,2.0,4.0,0.0,0.0,3.0,0,1,0,0,13,0.0,0.0,0.0,0.0,0.0,1,8.0,3,0,0,3,0,30.0,,,3.0,,,,9.0,,,,,3.0,,,,6.0,,,,,,
Awakened Shrub,2,Plant,Plant,0,0,9,10,3,3,8,11,10,10,6,-4.0,-1.0,0.0,0.0,0.0,-2.0,0.0,-1,1,0,0,10,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0,1,0,20.0,,,,,,,,,,,,,,,,,,,,,,
Awakened Tree,5,Plant,Plant,0,0,13,59,7,19,6,15,10,10,7,4.0,-2.0,2.0,0.0,0.0,-2.0,0.0,-1,2,0,0,10,0.0,0.0,0.0,0.0,0.0,1,2.0,1,0,0,1,0,20.0,,,,,,,,,,,,,,,,,,,,,,
Axe Beak,4,Beast,Beast,0,0,11,19,3,14,12,12,2,10,5,2.0,1.0,1.0,-4.0,0.0,-3.0,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0,0.25,1,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,,,,
Azer,3,Elemental,Elemental,1,0,17,39,6,17,12,15,12,13,10,3.0,1.0,4.0,1.0,1.0,0.0,1.0,0,0,2,1,11,0.0,0.0,0.0,0.0,0.0,1,2.0,1,0,0,3,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Baboon,2,Beast,Beast,0,0,12,3,1,8,14,11,4,12,6,-1.0,2.0,0.0,-3.0,1.0,-2.0,1.0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,1,0,30.0,,,,,,,,,,,30.0,,,,,,,,,,,
Badger,1,Beast,Beast,0,0,10,3,1,4,11,12,2,12,5,-3.0,0.0,1.0,-4.0,1.0,-3.0,1.0,0,0,0,0,11,9.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,1,0,20.0,,,,,,,,5.0,,,,,,,,,,,,,,
Balor,5,Fiend,Demons,-1,-1,19,262,21,26,15,22,20,16,22,14.0,2.0,12.0,5.0,9.0,12.0,3.0,0,5,2,1,13,0.0,0.0,0.0,36.0,36.0,2,19.0,5,0,0,4,0,40.0,,,,,,80.0,,,,,,,,,,,,,,,,
Bandit,3,Humanoid,Humanoid,1,0,12,11,2,11,12,12,10,10,10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,1,0.125,2,0,0,0,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Bandit Captain,3,Humanoid,Humanoid,1,0,15,65,10,15,16,14,14,11,14,4.0,5.0,2.0,2.0,2.0,2.0,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,1,2.0,3,1,0,0,0,30.0,,,,,,,,,,,,4.0,,,4.0,,,,,,,
Barbed Devil,3,Fiend,Devils,1,-1,15,110,13,16,17,18,12,14,14,6.0,3.0,7.0,1.0,5.0,5.0,8.0,0,4,2,1,18,36.0,0.0,0.0,0.0,36.0,2,5.0,4,0,0,3,0,30.0,,,8.0,,,,,,,5.0,,5.0,,,,,,,,,,
Basilisk,3,Monstrosity,Monstrosity,0,0,12,52,8,16,8,15,2,8,7,3.0,-1.0,2.0,-4.0,-1.0,-2.0,-1.0,0,0,0,0,9,18.0,0.0,0.0,0.0,0.0,0,3.0,1,0,0,1,0,20.0,,,,,,,,,,,,,,,,,,,,,,
Bat,1,Beast,Beast,0,0,12,1,1,2,15,8,2,12,4,-4.0,2.0,-1.0,-4.0,1.0,-3.0,1.0,0,0,0,0,11,0.0,18.0,0.0,0.0,0.0,0,0.0,1,0,0,2,0,5.0,,,,,,30.0,,,,,,,,,,,,,,,,
Bearded Devil,3,Fiend,Devils,1,-1,13,52,8,16,15,15,9,11,11,5.0,2.0,4.0,-1.0,2.0,0.0,0.0,0,4,2,1,10,36.0,0.0,0.0,0.0,36.0,2,3.0,3,0,0,3,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Behir,5,Monstrosity,Monstrosity,0,-1,17,168,16,23,16,18,7,14,12,6.0,3.0,4.0,-2.0,2.0,1.0,6.0,0,0,1,0,16,27.0,0.0,0.0,0.0,0.0,1,11.0,5,0,0,0,0,50.0,,,6.0,,,,7.0,,,,40.0,,,,,,,,,,,
Berserker,3,Humanoid,Humanoid,-1,0,13,67,9,16,12,17,9,11,9,3.0,1.0,3.0,-1.0,0.0,-1.0,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,1,2.0,1,0,0,1,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Black Bear,3,Beast,Beast,0,0,11,19,3,15,10,14,2,12,7,2.0,0.0,2.0,-4.0,1.0,-2.0,1.0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0,0.5,3,0,0,1,0,40.0,,,,,,,,,,,30.0,,,,,,,,,,,
Black Dragon Wyrmling,3,Dragon,Black Dragon,-1,-1,17,33,6,15,14,13,10,11,13,2.0,4.0,3.0,0.0,2.0,3.0,4.0,0,0,1,0,14,18.0,3.0,0.0,0.0,0.0,1,2.0,2,0,0,1,0,30.0,30.0,,4.0,,,60.0,4.0,,,,,,,,,,,,,,,
Black Pudding,4,Ooze,Oozes,0,0,7,85,10,16,5,16,1,6,1,3.0,-3.0,3.0,-5.0,-2.0,-5.0,-2.0,0,0,4,6,8,0.0,18.0,0.0,0.0,0.0,0,4.0,1,1,0,3,0,20.0,,,,,,,,,,,20.0,,,,,,,,,,,
Blink Dog,3,Fey,Fey,1,1,13,22,4,12,17,12,10,13,11,1.0,3.0,1.0,0.0,1.0,0.0,3.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,2,0.25,2,0,0,1,0,40.0,,,3.0,,,,5.0,,,,,,,,,,,,,,,
Blood Hawk,2,Beast,Beast,0,0,12,7,2,6,14,10,3,14,5,-2.0,2.0,0.0,-4.0,2.0,-3.0,4.0,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0,0.125,1,0,0,2,0,10.0,,,4.0,,,60.0,,,,,,,,,,,,,,,,
Blue Dragon Wyrmling,3,Dragon,Blue Dragon,1,-1,17,52,8,17,10,15,12,11,15,3.0,2.0,4.0,1.0,2.0,4.0,4.0,0,0,1,0,14,18.0,3.0,0.0,0.0,0.0,1,3.0,2,0,0,0,0,30.0,,,4.0,,,60.0,2.0,15.0,,,,,,,,,,,,,,
Boar,3,Beast,Beast,0,0,11,11,2,13,11,12,2,9,5,1.0,0.0,1.0,-4.0,-1.0,-3.0,-1.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0,0.25,1,0,0,2,0,40.0,,,,,,,,,,,,,,,,,,,,,,
Bone Devil,4,Fiend,Devils,1,-1,19,142,15,18,16,18,13,14,16,4.0,3.0,4.0,5.0,6.0,7.0,2.0,0,4,2,1,9,36.0,0.0,0.0,0.0,36.0,2,9.0,3,0,0,2,0,40.0,,,,,,40.0,,,,6.0,,7.0,,,,,,,,,,
Brass Dragon Wyrmling,3,Dragon,Brass Dragon,-1,1,16,16,3,15,10,13,10,11,13,2.0,2.0,3.0,0.0,2.0,3.0,4.0,0,0,1,0,14,18.0,3.0,0.0,0.0,0.0,1,1.0,2,0,0,0,0,30.0,,,4.0,,,60.0,2.0,15.0,,,,,,,,,,,,,,
Bronze Dragon Wyrmling,3,Dragon,Bronze Dragon,1,1,17,32,5,17,10,15,12,11,15,3.0,2.0,4.0,1.0,2.0,4.0,4.0,0,0,1,0,14,18.0,3.0,0.0,0.0,0.0,1,2.0,2,0,0,1,0,30.0,30.0,,4.0,,,60.0,2.0,,,,,,,,,,,,,,,
Brown Bear,4,Beast,Beast,0,0,11,34,4,19,10,16,2,13,7,4.0,0.0,3.0,-4.0,1.0,-2.0,3.0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0,1.0,3,0,0,1,0,40.0,,,3.0,,,,,,,,30.0,,,,,,,,,,,
Bugbear,3,Humanoid,goblinoid,-1,-1,16,27,5,15,14,13,8,11,9,2.0,2.0,1.0,-1.0,0.0,-1.0,0.0,0,0,0,0,10,18.0,0.0,0.0,0.0,0.0,2,1.0,2,0,0,2,0,30.0,,,,,,,6.0,,,,,,,,,,2.0,,,,,
Bulette,4,Monstrosity,Monstrosity,0,0,17,94,9,19,11,21,2,10,5,4.0,0.0,5.0,-4.0,0.0,-3.0,6.0,0,0,0,0,16,18.0,0.0,18.0,0.0,0.0,0,5.0,2,0,0,1,0,40.0,,,6.0,,,,,40.0,,,,,,,,,,,,,,
Camel,4,Beast,Beast,0,0,9,15,2,16,8,14,2,8,5,3.0,-1.0,2.0,-4.0,-1.0,-3.0,-1.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0,0.125,1,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,,,,
Cat,1,Beast,Beast,0,0,12,2,1,3,15,10,3,12,7,-4.0,2.0,0.0,-4.0,1.0,-2.0,3.0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,1,0,40.0,,,3.0,,,,4.0,,,,30.0,,,,,,,,,,,
Centaur,4,Monstrosity,Monstrosity,0,1,12,45,6,18,14,14,9,13,11,4.0,2.0,2.0,-1.0,1.0,0.0,3.0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,2,2.0,4,0,0,1,0,50.0,,,3.0,,,,,,,,,,,,6.0,,3.0,,,,,
Chain Devil,3,Fiend,Devils,1,-1,16,85,10,18,15,18,11,12,14,4.0,2.0,4.0,0.0,1.0,2.0,1.0,0,4,2,1,8,36.0,0.0,0.0,0.0,36.0,2,11.0,3,1,0,2,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Chimera,4,Monstrosity,Monstrosity,-1,-1,14,114,12,19,11,19,3,14,10,4.0,0.0,4.0,-4.0,2.0,0.0,8.0,0,0,0,0,18,18.0,0.0,0.0,0.0,0.0,1,6.0,5,0,0,0,0,30.0,,,8.0,,,60.0,,,,,,,,,,,,,,,,
Chuul,4,Aberration,Aberration,-1,-1,16,93,11,19,10,16,5,11,5,4.0,0.0,3.0,-3.0,0.0,-3.0,4.0,0,0,1,1,14,18.0,0.0,0.0,0.0,0.0,1,4.0,3,0,0,2,0,30.0,30.0,,4.0,,,,,,,,,,,,,,,,,,,
Clay Golem,4,Construct,Golems,0,0,14,133,14,20,9,18,3,8,1,5.0,-1.0,4.0,-4.0,-1.0,-5.0,-1.0,0,0,6,6,9,18.0,0.0,0.0,0.0,0.0,1,9.0,3,0,0,5,0,20.0,,,,,,,,,,,,,,,,,,,,,,
Cloaker,4,Aberration,Aberration,-1,0,14,78,12,17,15,12,13,12,14,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0,0,0,0,11,18.0,0.0,0.0,0.0,0.0,2,8.0,5,0,0,3,0,10.0,,,,,,40.0,5.0,,,,,,,,,,,,,,,
Cloud Giant,5,Giant,Giants,0,1,14,200,16,27,10,22,12,16,16,8.0,0.0,10.0,1.0,7.0,7.0,7.0,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,2,9.0,3,0,0,2,9,40.0,,,7.0,,,,,,,7.0,,,,,,,,,,,,
Cockatrice,2,Monstrosity,Monstrosity,0,0,11,27,6,6,12,12,2,13,5,-2.0,1.0,1.0,-4.0,1.0,-3.0,1.0,0,0,0,0,11,18.0,0.0,0.0,0.0,0.0,0,0.5,1,0,0,0,0,20.0,,,,,,40.0,,,,,,,,,,,,,,,,
Commoner,3,Humanoid,Humanoid,0,0,10,4,1,10,10,10,10,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0,0,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Constrictor Snake,4,Beast,Beast,0,0,12,13,2,15,14,12,1,10,3,2.0,2.0,1.0,-5.0,0.0,-4.0,0.0,0,0,0,0,10,0.0,3.0,0.0,0.0,0.0,0,0.25,2,0,0,0,0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,
Copper Dragon Wyrmling,3,Dragon,Copper Dragon,-1,1,16,22,4,15,12,13,14,11,13,2.0,3.0,3.0,2.0,2.0,3.0,4.0,0,0,1,0,14,18.0,3.0,0.0,0.0,0.0,1,1.0,2,0,0,0,0,30.0,,,4.0,,,60.0,3.0,,,,30.0,,,,,,,,,,,
Couatl,3,Celestial,Celestial,1,1,19,97,13,16,20,17,18,20,18,3.0,5.0,5.0,4.0,7.0,6.0,5.0,0,1,4,0,15,0.0,0.0,0.0,36.0,36.0,2,4.0,3,0,0,3,13,30.0,,,,,,90.0,,,,,,,,,,,,,,,,
Crab,1,Beast,Beast,0,0,11,2,1,2,11,10,1,8,2,-4.0,0.0,0.0,-5.0,-1.0,-4.0,-1.0,0,0,0,0,9,0.0,9.0,0.0,0.0,0.0,0,0.0,1,0,0,1,0,20.0,20.0,,,,,,2.0,,,,,,,,,,,,,,,
Crocodile,4,Beast,Beast,0,0,12,19,3,15,10,13,2,10,5,2.0,0.0,1.0,-4.0,0.0,-3.0,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0,0.5,1,0,0,1,0,20.0,20.0,,,,,,2.0,,,,,,,,,,,,,,,
Cult Fanatic,3,Humanoid,Humanoid,0,1,13,22,6,11,14,12,10,13,14,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,1,2.0,2,0,0,2,8,30.0,,,,,2.0,,,,4.0,,,4.0,,,,,,,,,,
Cultist,3,Humanoid,Humanoid,0,1,12,9,2,11,12,10,10,11,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,1,0.125,1,0,0,1,0,30.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,
Darkmantle,2,Monstrosity,Monstrosity,0,0,11,22,5,16,12,13,2,10,5,3.0,1.0,1.0,-4.0,0.0,-3.0,0.0,0,0,0,0,10,0.0,18.0,0.0,0.0,0.0,0,0.5,2,0,0,2,0,10.0,,,,,,30.0,3.0,,,,,,,,,,,,,,,
Death Dog,3,Monstrosity,Monstrosity,0,-1,12,39,6,15,14,14,3,13,6,2.0,2.0,2.0,-4.0,1.0,-2.0,5.0,0,0,0,0,15,36.0,0.0,0.0,0.0,0.0,0,1.0,2,0,0,1,0,40.0,,,5.0,,,,4.0,,,,,,,,,,,,,,,
Deep Gnome (Svirfneblin),2,Humanoid,gnome,0,1,15,16,3,15,14,14,12,10,9,2.0,2.0,2.0,1.0,0.0,-1.0,2.0,0,0,0,0,12,36.0,0.0,0.0,0.0,0.0,3,0.5,2,0,0,3,4,20.0,,,2.0,,,,4.0,,,,,,,,,,,3.0,,,,
Deer,3,Beast,Beast,0,0,13,4,1,11,16,11,2,14,5,0.0,3.0,0.0,-4.0,2.0,-3.0,2.0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,,,,
Deva,3,Celestial,Angels,1,1,17,136,16,18,18,18,17,20,20,4.0,4.0,4.0,3.0,9.0,9.0,9.0,0,4,0,3,19,36.0,0.0,0.0,0.0,36.0,2,10.0,4,0,0,3,3,30.0,,,9.0,,,90.0,,,,9.0,,,,,,,,,,,,
Dire Wolf,4,Beast,Beast,0,0,14,37,5,17,15,15,3,12,7,3.0,2.0,2.0,-4.0,1.0,-2.0,3.0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0,0,2,0,50.0,,,3.0,,,,4.0,,,,,,,,,,,,,,,
Djinni,4,Elemental,Genies,-1,1,17,161,14,21,15,22,15,16,20,5.0,6.0,6.0,2.0,7.0,9.0,3.0,0,0,2,0,13,36.0,0.0,0.0,0.0,0.0,1,11.0,3,0,0,3,11,30.0,,,,,,90.0,,,,,,,,,,,,,,,,
Doppelganger,3,Monstrosity,shapechanger,0,0,14,52,8,11,18,14,11,12,14,0.0,4.0,2.0,0.0,1.0,2.0,1.0,0,0,0,1,11,18.0,0.0,0.0,0.0,0.0,1,3.0,3,0,0,3,0,30.0,,,,,,,,,,3.0,,6.0,,,,,,,,,,
Draft Horse,4,Beast,Beast,0,0,10,19,3,18,10,12,2,11,7,4.0,0.0,1.0,-4.0,0.0,-2.0,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0,0.25,1,0,0,0,0,40.0,,,,,,,,,,,,,,,,,,,,,,
Dragon Turtle,6,Dragon,Dragon,0,0,20,341,22,25,10,20,10,12,12,7.0,6.0,11.0,0.0,7.0,1.0,1.0,0,1,0,0,11,36.0,0.0,0.0,0.0,0.0,2,17.0,5,0,0,1,0,20.0,40.0,,,,,,,,,,,,,,,,,,,,,
Dretch,2,Fiend,Demons,-1,-1,11,18,4,11,11,12,5,8,3,0.0,0.0,1.0,-3.0,-1.0,-4.0,-1.0,0,3,1,1,9,18.0,0.0,0.0,0.0,18.0,2,0.25,4,0,0,0,0,20.0,,,,,,,,,,,,,,,,,,,,,,
Drider,4,Monstrosity,Monstrosity,-1,-1,19,123,13,16,16,18,13,14,12,3.0,3.0,4.0,1.0,2.0,1.0,5.0,0,0,0,0,15,36.0,0.0,0.0,0.0,0.0,2,6.0,4,0,0,5,3,30.0,,,5.0,,,,9.0,,,,30.0,,,,,,,,,,,
